Pavarde        Vardas         Galutinis (Vid.)    Galutinis (Med.)    
----------------------------------------------------------------------
Pavarde1       Vardas1        3.88                3.80                
Pavarde2       Vardas2        6.15                6.20                
Pavarde3       Vardas3        5.59                5.80                
Pavarde4       Vardas4        3.19                3.40                
Pavarde5       Vardas5        7.29                7.40                
Pavarde6       Vardas6        3.65                3.20                
Pavarde7       Vardas7        7.83                8.20                
Pavarde8       Vardas8        2.89                3.00                
Pavarde9       Vardas9        6.89                7.00                
Pavarde10      Vardas10       4.19                4.40                
Pavarde11      Vardas11       3.93                3.40                
Pavarde12      Vardas12       8.24                8.40                
Pavarde13      Vardas13       6.04                5.40                
Pavarde14      Vardas14       2.49                2.60                
Pavarde15      Vardas15       6.75                6.40                
Pavarde16      Vardas16       6.41                6.60                
Pavarde17      Vardas17       5.91                6.20                
Pavarde18      Vardas18       8.40                8.80                
Pavarde19      Vardas19       8.43                8.40                
Pavarde20      Vardas20       7.87                7.60                
Pavarde21      Vardas21       7.36                7.20                
Pavarde22      Vardas22       6.47                6.60                
Pavarde23      Vardas23       6.83                6.80                
Pavarde24      Vardas24       6.04                5.80                
Pavarde25      Vardas25       8.04                8.20                
Pavarde26      Vardas26       4.61                4.40                
Pavarde27      Vardas27       6.39                6.60                
Pavarde28      Vardas28       4.17                4.60                
Pavarde29      Vardas29       5.23                5.20                
Pavarde30      Vardas30       6.55                6.60                
Pavarde31      Vardas31       3.89                3.60                
Pavarde32      Vardas32       5.09                5.20                
Pavarde33      Vardas33       6.25                5.80                
Pavarde34      Vardas34       5.36                4.80                
Pavarde35      Vardas35       2.97                3.40                
Pavarde36      Vardas36       8.91                9.20                
Pavarde37      Vardas37       3.60                3.60                
Pavarde38      Vardas38       4.73                4.60                
Pavarde39      Vardas39       2.84                2.60                
Pavarde40      Vardas40       2.15                2.20                
Pavarde41      Vardas41       6.60                6.60                
Pavarde42      Vardas42       4.17                4.20                
Pavarde43      Vardas43       4.80                4.80                
Pavarde44      Vardas44       6.40                6.80                
Pavarde45      Vardas45       6.85                6.40                
Pavarde46      Vardas46       8.45                8.80                
Pavarde47      Vardas47       6.55                6.20                
Pavarde48      Vardas48       2.49                2.60                
Pavarde49      Vardas49       2.12                2.20                
Pavarde50      Vardas50       5.05                4.60                
Pavarde51      Vardas51       7.07                7.60                
Pavarde52      Vardas52       5.84                6.40                
Pavarde53      Vardas53       2.95                3.00                
Pavarde54      Vardas54       5.60                5.60                
Pavarde55      Vardas55       7.45                7.00                
Pavarde56      Vardas56       5.03                5.40                
Pavarde57      Vardas57       4.97                5.40                
Pavarde58      Vardas58       5.17                5.20                
Pavarde59      Vardas59       4.89                5.00                
Pavarde60      Vardas60       5.95                6.00                
Pavarde61      Vardas61       6.69                6.40                
Pavarde62      Vardas62       8.16                8.40                
Pavarde63      Vardas63       6.39                6.20                
Pavarde64      Vardas64       6.84                7.00                
Pavarde65      Vardas65       3.61                3.80                
Pavarde66      Vardas66       5.97                5.60                
Pavarde67      Vardas67       8.35                8.80                
Pavarde68      Vardas68       3.92                4.40                
Pavarde69      Vardas69       8.09                8.60                
Pavarde70      Vardas70       3.03                3.40                
Pavarde71      Vardas71       7.59                7.80                
Pavarde72      Vardas72       5.01                5.20                
Pavarde73      Vardas73       7.92                8.00                
Pavarde74      Vardas74       3.20                3.20                
Pavarde75      Vardas75       6.71                7.00                
Pavarde76      Vardas76       6.28                6.20                
Pavarde77      Vardas77       4.09                4.20                
Pavarde78      Vardas78       8.29                8.00                
Pavarde79      Vardas79       5.04                4.40                
Pavarde80      Vardas80       7.12                7.20                
Pavarde81      Vardas81       3.68                4.00                
Pavarde82      Vardas82       3.12                2.80                
Pavarde83      Vardas83       4.36                4.60                
Pavarde84      Vardas84       4.68                5.00                
Pavarde85      Vardas85       4.56                4.40                
Pavarde86      Vardas86       5.31                5.60                
Pavarde87      Vardas87       7.21                7.00                
Pavarde88      Vardas88       6.63                6.60                
Pavarde89      Vardas89       5.85                6.20                
Pavarde90      Vardas90       7.72                8.20                
Pavarde91      Vardas91       6.93                6.00                
Pavarde92      Vardas92       7.20                7.60                
Pavarde93      Vardas93       5.48                5.40                
Pavarde94      Vardas94       7.40                7.40                
Pavarde95      Vardas95       5.27                5.00                
Pavarde96      Vardas96       4.43                4.40                
Pavarde97      Vardas97       8.56                8.80                
Pavarde98      Vardas98       5.29                5.40                
Pavarde99      Vardas99       5.92                6.00                
Pavarde100     Vardas100      6.69                6.00                
Pavarde101     Vardas101      4.12                4.60                
Pavarde102     Vardas102      5.31                5.60                
Pavarde103     Vardas103      5.95                6.00                
Pavarde104     Vardas104      8.21                8.40                
Pavarde105     Vardas105      4.29                4.00                
Pavarde106     Vardas106      5.96                6.20                
Pavarde107     Vardas107      3.65                4.00                
Pavarde108     Vardas108      5.32                6.20                
Pavarde109     Vardas109      5.96                5.80                
Pavarde110     Vardas110      7.00                6.60                
Pavarde111     Vardas111      2.33                2.60                
Pavarde112     Vardas112      8.01                8.20                
Pavarde113     Vardas113      8.16                8.00                
Pavarde114     Vardas114      4.72                4.80                
Pavarde115     Vardas115      6.87                7.40                
Pavarde116     Vardas116      8.00                8.00                
Pavarde117     Vardas117      5.69                5.40                
Pavarde118     Vardas118      7.36                8.00                
Pavarde119     Vardas119      3.92                4.00                
Pavarde120     Vardas120      6.04                6.20                
Pavarde121     Vardas121      3.08                3.40                
Pavarde122     Vardas122      7.67                7.80                
Pavarde123     Vardas123      3.36                3.60                
Pavarde124     Vardas124      6.01                5.80                
Pavarde125     Vardas125      4.09                4.20                
Pavarde126     Vardas126      3.64                3.40                
Pavarde127     Vardas127      6.64                6.40                
Pavarde128     Vardas128      7.37                7.40                
Pavarde129     Vardas129      4.27                4.40                
Pavarde130     Vardas130      6.72                6.80                
Pavarde131     Vardas131      3.40                3.40                
Pavarde132     Vardas132      2.31                2.20                
Pavarde133     Vardas133      6.69                6.40                
Pavarde134     Vardas134      3.65                4.00                
Pavarde135     Vardas135      7.91                7.80                
Pavarde136     Vardas136      7.04                7.20                
Pavarde137     Vardas137      6.57                6.20                
Pavarde138     Vardas138      3.59                3.40                
Pavarde139     Vardas139      3.96                3.80                
Pavarde140     Vardas140      2.73                2.60                
Pavarde141     Vardas141      3.17                2.80                
Pavarde142     Vardas142      2.92                3.00                
Pavarde143     Vardas143      7.53                7.80                
Pavarde144     Vardas144      3.49                3.60                
Pavarde145     Vardas145      5.51                5.80                
Pavarde146     Vardas146      5.49                5.20                
Pavarde147     Vardas147      2.65                2.20                
Pavarde148     Vardas148      5.79                5.60                
Pavarde149     Vardas149      4.21                4.00                
Pavarde150     Vardas150      2.92                3.40                
Pavarde151     Vardas151      3.39                3.20                
Pavarde152     Vardas152      3.95                4.40                
Pavarde153     Vardas153      6.63                6.60                
Pavarde154     Vardas154      2.92                3.00                
Pavarde155     Vardas155      2.41                2.20                
Pavarde156     Vardas156      5.01                5.60                
Pavarde157     Vardas157      7.05                6.60                
Pavarde158     Vardas158      8.13                8.40                
Pavarde159     Vardas159      6.39                6.20                
Pavarde160     Vardas160      3.15                3.20                
Pavarde161     Vardas161      4.72                4.80                
Pavarde162     Vardas162      5.04                4.80                
Pavarde163     Vardas163      7.99                8.60                
Pavarde164     Vardas164      7.76                7.20                
Pavarde165     Vardas165      4.55                4.60                
Pavarde166     Vardas166      5.61                5.40                
Pavarde167     Vardas167      5.56                5.40                
Pavarde168     Vardas168      2.84                3.00                
Pavarde169     Vardas169      8.43                8.80                
Pavarde170     Vardas170      6.72                6.40                
Pavarde171     Vardas171      4.51                4.80                
Pavarde172     Vardas172      3.08                3.00                
Pavarde173     Vardas173      6.97                6.60                
Pavarde174     Vardas174      5.05                5.00                
Pavarde175     Vardas175      6.49                6.60                
Pavarde176     Vardas176      5.68                5.60                
Pavarde177     Vardas177      7.24                7.00                
Pavarde178     Vardas178      7.55                8.00                
Pavarde179     Vardas179      7.77                7.80                
Pavarde180     Vardas180      4.71                3.80                
Pavarde181     Vardas181      6.25                6.60                
Pavarde182     Vardas182      3.08                3.00                
Pavarde183     Vardas183      2.63                2.20                
Pavarde184     Vardas184      2.81                3.00                
Pavarde185     Vardas185      7.20                7.20                
Pavarde186     Vardas186      7.23                7.20                
Pavarde187     Vardas187      5.43                5.80                
Pavarde188     Vardas188      7.81                7.60                
Pavarde189     Vardas189      4.53                4.40                
Pavarde190     Vardas190      4.67                4.80                
Pavarde191     Vardas191      3.13                3.40                
Pavarde192     Vardas192      5.00                4.60                
Pavarde193     Vardas193      5.97                6.00                
Pavarde194     Vardas194      6.68                7.00                
Pavarde195     Vardas195      8.05                8.00                
Pavarde196     Vardas196      2.79                2.60                
Pavarde197     Vardas197      3.20                3.20                
Pavarde198     Vardas198      3.80                3.80                
Pavarde199     Vardas199      5.24                5.80                
Pavarde200     Vardas200      6.93                7.20                
Pavarde201     Vardas201      2.44                2.60                
Pavarde202     Vardas202      6.52                7.00                
Pavarde203     Vardas203      4.07                4.20                
Pavarde204     Vardas204      5.21                5.00                
Pavarde205     Vardas205      4.80                5.20                
Pavarde206     Vardas206      3.65                4.00                
Pavarde207     Vardas207      3.55                3.60                
Pavarde208     Vardas208      4.11                4.00                
Pavarde209     Vardas209      7.13                7.00                
Pavarde210     Vardas210      5.08                5.40                
Pavarde211     Vardas211      4.25                4.20                
Pavarde212     Vardas212      3.15                2.80                
Pavarde213     Vardas213      6.36                6.20                
Pavarde214     Vardas214      5.73                6.00                
Pavarde215     Vardas215      4.59                4.80                
Pavarde216     Vardas216      3.01                2.40                
Pavarde217     Vardas217      3.99                3.80                
Pavarde218     Vardas218      3.47                3.60                
Pavarde219     Vardas219      5.08                5.00                
Pavarde220     Vardas220      8.16                8.80                
Pavarde221     Vardas221      7.85                7.40                
Pavarde222     Vardas222      2.61                2.40                
Pavarde223     Vardas223      5.45                5.80                
Pavarde224     Vardas224      7.56                7.40                
Pavarde225     Vardas225      8.08                8.00                
Pavarde226     Vardas226      5.80                5.40                
Pavarde227     Vardas227      2.44                2.20                
Pavarde228     Vardas228      6.83                6.80                
Pavarde229     Vardas229      3.77                3.80                
Pavarde230     Vardas230      2.68                2.60                
Pavarde231     Vardas231      7.79                7.60                
Pavarde232     Vardas232      6.55                6.20                
Pavarde233     Vardas233      3.35                3.40                
Pavarde234     Vardas234      6.31                6.20                
Pavarde235     Vardas235      7.40                7.40                
Pavarde236     Vardas236      7.00                7.00                
Pavarde237     Vardas237      6.93                6.40                
Pavarde238     Vardas238      3.87                4.00                
Pavarde239     Vardas239      6.31                5.80                
Pavarde240     Vardas240      4.28                4.60                
Pavarde241     Vardas241      8.16                8.40                
Pavarde242     Vardas242      3.76                4.40                
Pavarde243     Vardas243      8.72                8.80                
Pavarde244     Vardas244      3.88                3.80                
Pavarde245     Vardas245      4.99                5.20                
Pavarde246     Vardas246      4.91                5.20                
Pavarde247     Vardas247      7.01                7.20                
Pavarde248     Vardas248      4.09                4.20                
Pavarde249     Vardas249      6.57                6.60                
Pavarde250     Vardas250      7.89                7.60                
Pavarde251     Vardas251      3.51                3.40                
Pavarde252     Vardas252      6.03                6.40                
Pavarde253     Vardas253      3.33                3.20                
Pavarde254     Vardas254      6.41                7.00                
Pavarde255     Vardas255      3.11                3.00                
Pavarde256     Vardas256      6.68                7.00                
Pavarde257     Vardas257      5.88                5.80                
Pavarde258     Vardas258      6.96                7.20                
Pavarde259     Vardas259      6.79                7.00                
Pavarde260     Vardas260      7.04                7.20                
Pavarde261     Vardas261      8.35                8.80                
Pavarde262     Vardas262      8.27                8.00                
Pavarde263     Vardas263      2.65                2.60                
Pavarde264     Vardas264      4.19                4.00                
Pavarde265     Vardas265      5.64                6.20                
Pavarde266     Vardas266      5.51                5.80                
Pavarde267     Vardas267      8.35                8.40                
Pavarde268     Vardas268      4.60                4.60                
Pavarde269     Vardas269      2.49                2.20                
Pavarde270     Vardas270      8.08                8.00                
Pavarde271     Vardas271      8.35                8.80                
Pavarde272     Vardas272      7.93                7.80                
Pavarde273     Vardas273      3.47                3.60                
Pavarde274     Vardas274      4.92                4.60                
Pavarde275     Vardas275      6.68                7.00                
Pavarde276     Vardas276      6.12                5.80                
Pavarde277     Vardas277      6.76                6.60                
Pavarde278     Vardas278      3.15                3.20                
Pavarde279     Vardas279      8.35                8.40                
Pavarde280     Vardas280      3.31                3.20                
Pavarde281     Vardas281      7.37                7.40                
Pavarde282     Vardas282      6.28                6.20                
Pavarde283     Vardas283      8.45                8.40                
Pavarde284     Vardas284      3.81                4.40                
Pavarde285     Vardas285      7.25                7.60                
Pavarde286     Vardas286      3.44                3.60                
Pavarde287     Vardas287      4.68                4.60                
Pavarde288     Vardas288      6.23                6.20                
Pavarde289     Vardas289      7.48                7.40                
Pavarde290     Vardas290      4.07                3.80                
Pavarde291     Vardas291      3.31                3.60                
Pavarde292     Vardas292      3.55                3.60                
Pavarde293     Vardas293      6.55                6.60                
Pavarde294     Vardas294      7.61                7.40                
Pavarde295     Vardas295      2.95                3.00                
Pavarde296     Vardas296      4.73                4.60                
Pavarde297     Vardas297      4.59                4.80                
Pavarde298     Vardas298      4.52                5.00                
Pavarde299     Vardas299      6.75                6.80                
Pavarde300     Vardas300      4.75                5.20                
Pavarde301     Vardas301      4.83                4.80                
Pavarde302     Vardas302      6.55                7.00                
Pavarde303     Vardas303      3.99                3.80                
Pavarde304     Vardas304      3.00                3.40                
Pavarde305     Vardas305      4.40                4.00                
Pavarde306     Vardas306      6.96                6.80                
Pavarde307     Vardas307      2.87                2.60                
Pavarde308     Vardas308      8.15                8.20                
Pavarde309     Vardas309      8.19                8.00                
Pavarde310     Vardas310      8.51                8.80                
Pavarde311     Vardas311      4.81                4.20                
Pavarde312     Vardas312      6.33                6.20                
Pavarde313     Vardas313      5.55                5.20                
Pavarde314     Vardas314      6.44                6.60                
Pavarde315     Vardas315      7.09                7.20                
Pavarde316     Vardas316      2.97                3.00                
Pavarde317     Vardas317      8.21                8.40                
Pavarde318     Vardas318      4.72                4.80                
Pavarde319     Vardas319      4.89                4.60                
Pavarde320     Vardas320      4.72                4.80                
Pavarde321     Vardas321      4.00                4.00                
Pavarde322     Vardas322      4.49                4.60                
Pavarde323     Vardas323      5.31                4.80                
Pavarde324     Vardas324      7.56                7.40                
Pavarde325     Vardas325      6.33                6.60                
Pavarde326     Vardas326      7.88                7.80                
Pavarde327     Vardas327      4.56                4.80                
Pavarde328     Vardas328      5.19                5.40                
Pavarde329     Vardas329      7.04                6.80                
Pavarde330     Vardas330      7.79                7.60                
Pavarde331     Vardas331      5.76                6.00                
Pavarde332     Vardas332      5.63                6.00                
Pavarde333     Vardas333      5.12                5.20                
Pavarde334     Vardas334      3.57                3.60                
Pavarde335     Vardas335      2.63                2.60                
Pavarde336     Vardas336      6.37                6.00                
Pavarde337     Vardas337      3.99                4.20                
Pavarde338     Vardas338      7.92                8.00                
Pavarde339     Vardas339      5.12                5.20                
Pavarde340     Vardas340      8.27                7.60                
Pavarde341     Vardas341      5.55                5.20                
Pavarde342     Vardas342      6.01                5.40                
Pavarde343     Vardas343      2.15                1.80                
Pavarde344     Vardas344      7.81                7.60                
Pavarde345     Vardas345      4.20                3.80                
Pavarde346     Vardas346      5.05                5.00                
Pavarde347     Vardas347      5.19                5.40                
Pavarde348     Vardas348      8.59                9.20                
Pavarde349     Vardas349      6.27                6.40                
Pavarde350     Vardas350      4.01                4.20                
Pavarde351     Vardas351      5.79                6.00                
Pavarde352     Vardas352      6.49                6.60                
Pavarde353     Vardas353      7.61                7.80                
Pavarde354     Vardas354      3.01                2.80                
Pavarde355     Vardas355      5.79                5.20                
Pavarde356     Vardas356      2.87                2.60                
Pavarde357     Vardas357      4.75                4.80                
Pavarde358     Vardas358      5.03                4.60                
Pavarde359     Vardas359      8.59                8.80                
Pavarde360     Vardas360      3.93                3.80                
Pavarde361     Vardas361      7.53                7.40                
Pavarde362     Vardas362      4.19                3.60                
Pavarde363     Vardas363      7.11                6.60                
Pavarde364     Vardas364      7.48                7.40                
Pavarde365     Vardas365      2.39                2.60                
Pavarde366     Vardas366      3.72                3.00                
Pavarde367     Vardas367      1.75                1.80                
Pavarde368     Vardas368      5.60                5.60                
Pavarde369     Vardas369      3.23                2.80                
Pavarde370     Vardas370      3.21                3.40                
Pavarde371     Vardas371      3.49                3.20                
Pavarde372     Vardas372      3.20                3.20                
Pavarde373     Vardas373      4.69                4.80                
Pavarde374     Vardas374      2.92                3.00                
Pavarde375     Vardas375      4.29                4.00                
Pavarde376     Vardas376      5.97                6.40                
Pavarde377     Vardas377      7.40                7.00                
Pavarde378     Vardas378      4.31                4.60                
Pavarde379     Vardas379      2.36                2.20                
Pavarde380     Vardas380      3.89                3.60                
Pavarde381     Vardas381      4.72                4.80                
Pavarde382     Vardas382      4.28                4.20                
Pavarde383     Vardas383      5.35                5.80                
Pavarde384     Vardas384      7.68                7.60                
Pavarde385     Vardas385      8.29                8.40                
Pavarde386     Vardas386      3.96                4.20                
Pavarde387     Vardas387      7.60                8.00                
Pavarde388     Vardas388      3.56                3.80                
Pavarde389     Vardas389      4.12                3.80                
Pavarde390     Vardas390      4.64                4.80                
Pavarde391     Vardas391      4.45                4.40                
Pavarde392     Vardas392      5.81                5.60                
Pavarde393     Vardas393      4.12                4.20                
Pavarde394     Vardas394      2.63                3.00                
Pavarde395     Vardas395      4.59                4.80                
Pavarde396     Vardas396      4.20                4.60                
Pavarde397     Vardas397      5.07                5.60                
Pavarde398     Vardas398      7.76                7.20                
Pavarde399     Vardas399      6.09                6.20                
Pavarde400     Vardas400      2.81                2.60                
Pavarde401     Vardas401      6.08                6.00                
Pavarde402     Vardas402      7.65                7.60                
Pavarde403     Vardas403      2.55                2.20                
Pavarde404     Vardas404      7.91                8.20                
Pavarde405     Vardas405      4.36                4.60                
Pavarde406     Vardas406      3.04                3.20                
Pavarde407     Vardas407      7.71                8.00                
Pavarde408     Vardas408      4.36                4.20                
Pavarde409     Vardas409      2.89                2.60                
Pavarde410     Vardas410      8.37                8.80                
Pavarde411     Vardas411      6.28                6.20                
